Claim_ID,Customer_ID,Policy_Type,Claim_Amount,Status,Processing_Time_Days,Region,Submission_Date,Approval_Date
287,13160,Property,12069.7,Approved,9.0,North,2024-09-15,2024-09-24
288,11713,Motor,196883.54,Pending,,North,2024-04-13,
289,17872,Property,93706.79,Approved,14.0,North,2024-01-01,2024-01-15
290,17839,Property,75050.07,Approved,22.0,West,2024-07-25,2024-08-16
291,16859,Health,62081.27,Approved,22.0,North,2024-05-14,2024-06-05
292,10752,Property,38999.56,Approved,29.0,East,2024-09-27,2024-10-26
293,10114,Health,159356.91,Approved,34.0,North,2024-03-29,2024-05-02
294,15341,Motor,191305.76,Approved,30.0,South,2024-07-13,2024-08-12
295,13980,Motor,85660.73,Rejected,38.0,South,2024-05-01,2024-06-08
296,16325,Health,190722.04,Approved,23.0,West,2024-04-25,2024-05-18
297,12818,Motor,165640.54,Pending,,South,2024-07-14,
298,10468,Health,98804.97,Approved,12.0,East,2024-02-05,2024-02-17
299,10425,Property,136435.1,Approved,12.0,North,2024-03-07,2024-03-19
300,18141,Motor,89821.91,Approved,35.0,West,2024-05-12,2024-06-16
301,11575,Health,113951.06,Approved,20.0,North,2024-10-07,2024-10-27
302,10833,Property,16319.04,Approved,38.0,North,2024-01-11,2024-02-18
303,14106,Property,140771.38,Pending,,East,2024-08-05,
304,13703,Property,15300.81,Approved,30.0,South,2024-11-17,2024-12-17
305,11408,Health,164331.56,Approved,20.0,South,2024-06-04,2024-06-24
306,13481,Property,165864.65,Approved,38.0,North,2024-08-27,2024-10-04
307,16185,Health,51230.07,Rejected,22.0,West,2024-02-29,2024-03-22
308,15821,Motor,68114.24,Rejected,25.0,South,2024-05-17,2024-06-11
309,16844,Motor,98855.52,Approved,27.0,West,2024-02-19,2024-03-17
310,16395,Health,121349.27,Approved,42.0,South,2024-06-15,2024-07-27
311,18795,Motor,61033.96,Approved,13.0,West,2024-06-13,2024-06-26
312,10212,Health,120534.85,Approved,20.0,East,2024-11-14,2024-12-04
313,16411,Health,63068.48,Approved,31.0,West,2024-07-07,2024-08-07
314,14801,Motor,15820.69,Approved,16.0,East,2024-04-01,2024-04-17
315,11758,Health,5492.87,Approved,4.0,East,2024-10-20,2024-10-24
316,15780,Health,24724.46,Approved,14.0,West,2024-10-15,2024-10-29
317,18973,Motor,159488.89,Approved,10.0,East,2024-03-15,2024-03-25
318,11526,Motor,192479.11,Pending,,North,2024-02-14,
319,10840,Motor,88258.41,Pending,,East,2024-02-22,
320,11341,Motor,104973.37,Approved,15.0,South,2024-06-23,2024-07-08
321,11500,Property,33635.39,Approved,9.0,West,2024-06-09,2024-06-18
322,18121,Motor,112451.11,Approved,20.0,North,2024-03-07,2024-03-27
323,15559,Health,33207.71,Approved,33.0,West,2024-12-26,2025-01-28
324,15926,Motor,124186.79,Rejected,36.0,South,2024-09-26,2024-11-01
325,18707,Motor,186985.44,Approved,24.0,South,2024-05-03,2024-05-27
326,17675,Travel,43161.22,Rejected,22.0,South,2024-06-30,2024-07-22
327,19339,Health,154089.93,Pending,,East,2024-06-30,
328,16457,Motor,9582.97,Approved,15.0,East,2024-02-05,2024-02-20
329,13256,Motor,78221.96,Approved,17.0,West,2024-07-30,2024-08-16
330,12594,Motor,26595.96,Approved,25.0,West,2024-05-13,2024-06-07
331,13656,Motor,73732.71,Approved,33.0,North,2024-12-18,2025-01-20
332,19740,Health,38839.7,Approved,12.0,North,2024-06-26,2024-07-08
333,12086,Motor,77794.47,Approved,12.0,West,2024-06-14,2024-06-26
334,13155,Motor,86416.95,Rejected,5.0,East,2024-12-02,2024-12-07
335,17188,Motor,63615.27,Approved,27.0,South,2024-11-24,2024-12-21
336,16396,Property,133041.28,Approved,6.0,West,2024-11-22,2024-11-28
337,10978,Property,184176.15,Approved,37.0,North,2024-02-15,2024-03-23
338,13047,Motor,83116.1,Approved,34.0,East,2024-06-04,2024-07-08
339,12589,Health,42506.92,Approved,15.0,West,2024-08-23,2024-09-07
340,12006,Motor,57790.94,Rejected,33.0,West,2024-11-11,2024-12-14
341,16783,Motor,171530.16,Approved,8.0,East,2024-02-29,2024-03-08
342,15942,Health,116469.75,Approved,11.0,West,2024-01-05,2024-01-16
343,12599,Property,93727.15,Approved,3.0,East,2024-06-29,2024-07-02
344,12508,Property,34179.16,Approved,11.0,South,2024-05-24,2024-06-04
345,18471,Health,92696.83,Rejected,36.0,East,2024-11-10,2024-12-16
346,11193,Motor,59305.94,Approved,22.0,East,2024-09-21,2024-10-13
347,15915,Health,188916.81,Rejected,41.0,East,2024-08-10,2024-09-20
348,19949,Motor,177393.67,Approved,43.0,West,2024-10-27,2024-12-09
349,12045,Health,21361.0,Approved,9.0,West,2024-12-01,2024-12-10
350,17796,Motor,105747.43,Approved,19.0,East,2024-08-24,2024-09-12
351,18439,Health,48886.38,Approved,10.0,West,2024-01-13,2024-01-23
352,19576,Motor,85101.53,Approved,42.0,North,2024-12-04,2025-01-15
353,19564,Motor,175985.36,Rejected,31.0,North,2024-09-24,2024-10-25
354,17602,Property,107865.33,Approved,5.0,West,2024-09-22,2024-09-27
355,13672,Motor,70171.98,Approved,36.0,West,2024-01-16,2024-02-21
356,17181,Health,45538.23,Approved,15.0,East,2024-04-01,2024-04-16
357,10044,Motor,161063.35,Approved,15.0,South,2024-09-04,2024-09-19
358,12085,Motor,126781.01,Approved,38.0,West,2024-01-19,2024-02-26
359,14511,Motor,96272.76,Approved,21.0,North,2024-12-25,2025-01-15
360,16388,Motor,47409.45,Approved,30.0,East,2024-04-12,2024-05-12
361,17775,Travel,70178.04,Approved,24.0,West,2024-04-04,2024-04-28
362,15371,Motor,192169.47,Approved,22.0,North,2024-10-09,2024-10-31
363,17948,Property,106417.54,Approved,32.0,North,2024-07-31,2024-09-01
364,16223,Health,83136.36,Approved,33.0,South,2024-02-06,2024-03-10
365,14323,Motor,106677.3,Approved,42.0,East,2024-03-01,2024-04-12
366,16626,Health,156902.76,Pending,,East,2024-10-17,
367,18814,Health,71321.24,Approved,14.0,South,2024-12-27,2025-01-10
368,18049,Health,39847.69,Approved,24.0,South,2024-10-29,2024-11-22
369,17091,Motor,119062.54,Approved,9.0,East,2024-08-31,2024-09-09
370,18676,Motor,134714.8,Approved,13.0,East,2024-11-06,2024-11-19
371,18216,Travel,143980.01,Rejected,37.0,West,2024-12-09,2025-01-15
372,11225,Property,176987.58,Approved,17.0,West,2024-12-16,2025-01-02
373,11248,Travel,77378.95,Pending,,South,2024-01-06,
374,18970,Motor,19694.2,Rejected,30.0,West,2024-11-01,2024-12-01
375,15026,Health,191877.97,Approved,30.0,North,2024-06-13,2024-07-13
